epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.56735,2.8112,4.04312,2.38569,0.00333,1,0.24755,0.08433,2.0064,3.16663,2.06325,0.0937,0.0007,0.0007
2,7.88064,1.59518,2.18524,1.56234,0.00193,0.43333,0.00238,0.00052,3.14948,163.455,4.99473,0.0864852,0.00148515,0.00148515
3,9.98308,1.69217,1.66324,1.56888,0.43196,0.16667,0.16658,0.0422,2.80202,2.82227,9.83938,0.0792545,0.00225446,0.00225446
4,12.2287,1.482,1.39811,1.52004,0.00101,0.3,0.00066,0.00027,3.14277,inf,8.27206,0.0720079,0.00300793,0.00300793
5,14.2965,1.4466,1.20182,1.4368,0.00012,0.03333,7e-05,3e-05,4.0481,inf,6.76852,0.0647456,0.00374556,0.00374556
6,16.8649,1.42133,1.19691,1.39981,0,0,0,0,5.16443,inf,34.1067,0.0574674,0.00446735,0.00446735
7,20.5087,1.37098,1.13008,1.43095,0.00025,0.06667,0.00013,1e-05,5.02967,inf,26.5565,0.0501733,0.0051733,0.0051733
8,22.742,1.36405,0.94903,1.36657,0,0,0,0,5.03212,109.251,10.9391,0.0428634,0.00586341,0.00586341
9,24.8652,1.26693,0.96105,1.32782,0.00656,0.43333,0.00749,0.0016,3.05479,126.814,9.36743,0.0355377,0.00653768,0.00653768
10,27.0166,1.24037,0.93531,1.34574,0.00062,0.03333,0.00033,5e-05,5.15747,371.438,35.9099,0.0281961,0.00719611,0.00719611
11,29.4522,1.2544,0.91421,1.35968,0.00053,0.13333,0.00027,3e-05,4.41619,inf,9.54909,0.0208387,0.0078387,0.0078387
12,32.1899,1.25764,0.93342,1.35227,0.04444,0.13333,0.01657,0.00347,3.70623,83.0265,6.24597,0.0134655,0.00846545,0.00846545
13,34.2381,1.23427,0.87256,1.3287,0.09091,0.03333,0.01777,0.00662,4.07,58.3716,5.36381,0.008812,0.008812,0.008812
